Landsdel;Museer og Besøgssteder;Hovedmuseum;Museumstype;Museumskategori;Museumsnavn;Besøgende; Udstilling i alt;Besøgende 18 år og derover; fuld pris;Besøgende 18 år og derover; reduceret pris (inkl. årskort);Besøgende 18 år og derover; gratis;"Besøgende u. 18 år, 
ej undervisning";"Besøgende u. 18 år, 
undervisning";Besøgende; uspecificeret;Besøgende; Besøgssted;Åbningstimer;Antal arrangementer;Deltagere til arrangementer i alt;Deltagere u. 18 år; undervisning;Deltagere u. 18 år; undervisning;Deltagere;18 år og derover eller uspecificeret;Antal online arrangementer (livestream);Deltagere til online arrangementer;Bemærkning;;;;;
Nordsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Frederikssund Museum;4.411;329;328;1.036;1.126;1.592;0;7.336;994;5;742;0;0;742;0;0;;;;;;;;;;;;;;;
Bornholm;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;BORNHOLMS KUNSTMUSEUM;34.376;19.833;6.414;3.204;2.940;1.985;0;34.376;1.847;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;gaarden - Bornholms Madkulturhus;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for Landbrugsmuseet på Melstedgård;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Melsted Mølle;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for Landbrugsmuseet på Melstedgård;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Landbrugsmuseet på Melstedgård;17.111;3.218;1.790;10.393;1.231;479;0;17.111;922;19;1.506;0;15;1.491;0;0;;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Kulturhistorisk Museum Rønne;12.340;4.808;3.542;1.569;1.073;1.348;0;13.940;1.591;93;2.619;478;22;2.119;0;0;;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Hjorths Fabrik  Bornholms Keramikmuseum;25.009;3.392;4.291;15.612;1.427;287;0;25.009;1.800;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Bornholm;Besøgssted;Bornholms Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Erichsens Gård;4.965;767;1.790;2.408;0;0;0;4.965;322;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Greve Museum;20.401;3.899;2.265;6.233;4.029;3.975;0;20.401;2.506;23;1.424;165;65;1.194;0;0;;;;;;;;;;;;;;;
Østsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Vikingeskibsmuseet;159.761;41.092;67.142;13.191;29.755;8.581;0;159.761;2.276;762;11.962;0;5.000;6.962;6;184;;;;;;;;;;;;;;;
Østsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Museet for Samtidskunst;7.678;0;0;7.374;239;65;0;7.678;256;15;82.789;0;342;82.447;0;0;Af museets hjemmesidebrugere i 2022 var 21.871 besøgende på The Wrestlers (enten gennem museets online udstilling eller som brugere af udstillingens QR-kode) og 3.952 var besøgende på Zoba´ah: Hvirvelvinden (enten gennem museets online udstilling eller som brugere af udstillingens QR-kode) og 2.400 var lyttere af museets podcasts/lydværker.;;;;;;;;;;;;;;
Østsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;KØS Museum for Kunst i Det Offentlige Rum;28.322;2.586;348;23.311;245;1.832;0;32.162;1.770;2;400;0;0;400;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Køge Museum;33.959;5.090;6.825;3.252;17.738;1.054;0;38.273;1.810;40;600;0;0;600;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Danmarks Rockmuseum;43.318;6.657;16.461;3.513;8.556;8.131;0;82.311;2.281;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Tadre Mølle Museum;9.305;2.401;0;5.013;1.891;0;0;14.689;450;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Lützhøfs Købmandsgård;14.180;0;0;11.029;2.356;795;0;14.180;1.078;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Lejre Museum;6.172;1.268;1.268;1.681;782;1.173;0;14.341;1.250;11;328;0;0;328;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Roskilde Museum;16.489;3.140;3.120;3.697;1.400;5.132;0;31.086;1.772;1;47;0;0;47;0;0;;;;;;;;;;;;;;;
Østsjælland;Besøgssted;ROMU;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Sankt Laurentius;3.727;589;588;665;1.039;846;0;5.520;528;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Fuglsang Kunstmuseum;24.376;8.653;7.112;4.461;1.945;2.205;0;28.862;1.594;6;214;75;0;139;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Sorø Kunstmuseum;14.560;6.997;3.006;1.220;1.077;2.260;0;20.467;1.800;1;1.089;0;500;589;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Lolland Falster;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museum Obscurum; Falsters Minder;17.486;3.195;660;10.174;2.882;575;0;17.486;1.556;79;1.115;0;67;1.048;0;0;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Lolland Falster;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Reventlow-Museet Pederstrup;4.355;1.060;1.829;1.012;236;218;0;4.355;471;79;1.115;0;67;1.048;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Lolland Falster;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;De gamle huse; frilandsmuseet;13.067;4.381;2.327;2.491;2.383;1.485;0;13.067;917;79;1.115;0;67;1.048;0;0;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Lolland Falster;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Stiftmuseet; Maribo;6.644;1.343;795;3.384;785;337;0;6.644;1.276;79;1.116;0;67;1.049;0;0;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Helligåndshuset Næstved Museum;1.282;400;459;11;139;273;0;3.404;990;12;279;211;0;68;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museumsgården; Kjeldbylille;2.307;680;655;430;542;0;0;2.807;618;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Køng Museum;2.015;538;346;1.088;43;0;0;2.015;208;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Thorvaldsen-Samlingen på Nysø;1.597;618;623;84;60;212;0;1.597;290;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Møns Museum;9.791;644;1.237;4.950;2.922;38;0;18.378;954;1;25;0;0;25;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Holmegaard Værk;75.671;15.083;33.173;9.329;15.718;2.368;0;77.034;2.185;5;618;0;0;618;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Sydøstdanmark;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Danmarks Borgcenter;133.152;9.817;9.915;79.608;30.278;3.534;0;161.560;1.550;21;2.435;227;800;1.408;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Skælskør Bymuseum;3.615;0;0;3.342;273;0;0;3.615;190;2;95;0;0;95;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Slagelse Museum;3.079;294;198;1.022;1.022;543;0;5.844;954;15;1.022;21;4;997;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Ringsted Museum;1.580;415;292;141;575;157;0;2.879;838;23;31.494;0;11.013;20.481;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Flakkebjerg Skolemuseum;509;0;0;143;0;366;0;509;120;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Odsherreds Museum;4.325;1.272;1.018;1.081;779;175;0;8.150;1.056;7;804;0;440;364;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Odsherreds kunstmuseum Hvide Hus;3.327;675;1.425;264;218;745;0;3.529;1.248;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Malergården;6.754;2.099;3.811;321;500;23;0;6.839;876;1;45;0;0;45;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Holbæk Museum;12.639;1.216;1.376;7.910;1.163;974;0;26.546;1.236;37;8.188;27;2.017;6.144;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Kalundborg Museum;9.473;1.841;2.833;2.763;1.575;461;0;13.094;1.332;6;191;21;0;170;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Museum Vestsjælland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Sorø Museum;7.324;658;634;4.471;612;949;0;11.803;972;7;22.201;0;1.041;21.160;0;0;;;;;;;;;;;;;;;
Vest- og Sydsjælland;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;VikingeborgenTrelleborg;71.440;0;0;0;0;0;71.440;71.440;1.158;3;136;80;0;56;0;0;;;;;;;;;;;;;;;
